t,I1,I2,I3,I4,I5
0.05,-37.3722603093554,-31.19098979645768,-30.03200157493948,-35.56938974642712,-32.9938603523056
10.05,-31.577319193637415,-32.86508388338666,-32.34997802032672,-31.96364860742248,-32.86508389656368
20.05,-33.637742704347644,-31.57731920184368,-30.93343685219292,-30.547107445150363,-28.74423688187104
30.05,-32.092425079579684,-29.903225103538915,-30.9334368544,-32.86508389525112,-34.925507395328474
40.05,-38.144919116235315,-35.05428386635296,-31.96364860063128,-26.03993101799611,-29.259342754708843
50.05,-31.963648607964352,-36.08449561512824,-33.12263682774584,-38.14491912268127,-32.34997801455099
60.05,-31.70609567360984,-32.09242507808736,-29.90322510142184,-30.289554505431816,-29.001789810023855
70.05,-34.15284858465416,-32.86508387962423,-30.03200156863188,-30.80466038553256,-30.67588391820128
80.04999999999998,-35.826942675099,-33.12263682873076,-34.92550739809548,-29.0017898163758,-33.63774270283248
90.05000000000001,-33.2514132971904,-27.58524864771344,-32.47875447937908,-34.152848585174,-34.92550739617225
100.05,-33.50896623989308,-32.478754483776996,-30.28955450984844,-25.782378070133085,-25.138495728861272
110.05,-541.9184223910213,-430.9131234583456,-425.8908417979264,-419.1944662463712,-425.3757359771876
120.05,-425.7620645466944,-361.76016760528194,-368.327766824328,-378.501106774236,-379.7888713380301
130.05,-358.6695324077916,-331.7552534134996,-347.4659810408816,-358.4119797615688,-361.6313911704132
140.05,-327.24807725459607,-319.907819390066,-333.944453168852,-353.132145111766,-357.51054459576005
150.04999999999998,-307.0301736070828,-314.2416552925512,-331.62647695821204,-342.83002863857484,-348.8825220800328
160.05,-295.05396308834395,-311.4085732218084,-327.6344068024676,-338.0652997688524,-346.17821650493244
170.05,-284.6230699964984,-304.19709161636354,-324.0286660182679,-335.7473235639092,-343.8602402896652
180.04999999999998,-281.91876436059766,-301.1064566380424,-318.1049490013576,-332.78546506691765,-342.8300286471232
190.05,-277.5403648053888,-300.4625743553412,-317.5898431774148,-334.073229623588,-343.8602402918352
200.05,-274.3209533084224,-295.8266218753332,-320.0365958545292,-329.0509478205488,-335.8760999977732
210.05,-271.74542417383435,-299.04603331990484,-315.2718669428808,-331.36892404243315,-334.7171119054028
220.05,-273.161965219436,-295.95539833283635,-315.40064340023724,-328.5358420056808,-337.1638645770772
230.05,-268.7835656145145,-300.7201272593056,-316.8171844226324,-327.8919597163964,-337.80774686325276
240.05,-266.85191873091287,-300.5913508080383,-318.2337254568696,-327.8919597153928,-338.9667349662208
250.05,-269.16989500196485,-295.1827395923028,-313.46899654889995,-329.8236065704208,-338.19407622965883
260.05,-259.2541076597108,-294.7964102178548,-315.27186695289436,-333.4293473405064,-336.3912058407835
270.05,-264.0188366464496,-294.1525279230244,-316.3020786109092,-329.30850074234274,-337.292641033144
280.05,-262.0871897472856,-296.0841747809004,-312.56756134615523,-324.5437718364744,-332.9142415094556
290.04999999999995,-261.1857545338536,-290.6755635588584,-307.4165030626244,-321.83946625372965,-336.7775352102672
300.05,-259.1253311952708,-293.7661985513424,-312.9538907250164,-328.6646184642656,-335.8761000095984
310.05,-258.48144889913044,-290.16045773202234,-308.1891618031568,-322.7409014500496,-335.1034412717128
320.05,-263.6325072588708,-294.02375145008875,-314.24165529760404,-328.5358420017248,-337.5501939470732
330.05,-260.28431933580475,-293.1223162574896,-314.6279846670252,-326.089089330136,-330.08115947508
340.05,-258.6102253653704,-293.63742209107636,-310.8934673949116,-326.08908932035433,-341.0271582586592
350.04999999999995,-262.85984851975684,-286.16838752036284,-310.63591449461,-328.5358420009712,-334.84588837073403
360.04999999999995,-258.99655473955,-293.5086456368864,-308.8330440928372,-325.96031287120275,-332.2703592412016
370.05,-260.5418722526092,-291.1906693909033,-309.2193734367528,-326.60419514564876,-339.7393937023164
380.05,-265.82170707789,-290.41801064692515,-311.27979677807275,-324.02866602458045,-338.0652997701192
390.05,-260.2843193351884,-290.54678710784003,-313.211443630206,-326.21786577678483,-338.0652997722256
400.05,-260.02676640885,-291.31944585467323,-308.5754911753808,-325.83153640776635,-333.6869002547704
410.05,-261.9584133067224,-289.1302460571616,-311.7949026103,-323.3847837286968,-332.91424152298043
420.05,-259.897989952842,-294.2813043888452,-312.18123198221684,-318.6200548331196,-335.360994188038
430.05,-260.5418722495808,-294.4100808384756,-318.8776077467884,-322.740901448572,-339.09551142095836
440.05,-262.0871897605716,-290.28923418962484,-310.378361578946,-324.672548309112,-335.48977062848724
450.05,-255.5195903160344,-287.9712579367692,-313.4689965449372,-327.76318325999966,-333.94445317817565
460.05,-254.2318257310032,-292.9935397928192,-311.1510203166228,-330.08115948245285,-332.7854650649688
470.05,-256.9361313923196,-283.72163482523604,-312.8251142689696,-322.8696779071988,-337.9365233185372
480.05,-258.86777827841195,-288.2288108541012,-309.9920322039552,-322.7409014499308,-337.8077468591604
490.05,-260.6706486922028,-287.5849285599032,-308.9618205509316,-325.445207031558,-332.0128063260124
500.05,-259.640437022288,-291.06189293044724,-314.49920820963405,-326.2178657874212,-339.09551142514
510.05,-104.97990565534832,-115.7971287574512,-128.28844586070795,-132.92439857898157,-142.7114098827606
520.0500000000001,-63.38510690369524,-64.93042451646303,-70.72536554756009,-71.24047141329561,-73.3008949008045
530.0500000000001,-53.082989466551126,-54.88586002252367,-59.26425993440504,-63.7714363035264,-57.84771878309395
540.0500000000001,-54.24197766522228,-47.28804839418272,-55.658518827712,-46.3866131177252,-49.60602482867628
550.0500000000001,-40.97800143413868,-42.78087199488104,-47.416824862339325,-43.93986021270592,-48.57581307994572
560.0500000000001,-46.25783664433048,-41.36433084333196,-47.03049546235808,-46.51538958531656,-47.159271922880166
570.05,-40.46289555601976,-42.52331906159448,-39.56146027824104,-42.13698965449676,-46.25783664671907
580.05,-42.13698965140524,-39.69023672764284,-42.90964846260616,-42.39454259297824,-46.12906017324408
590.05,-44.19741314731395,-42.26576611587616,-39.17513087296076,-38.40247206152716,-40.20534261462924
